id,text,label
102,和    【 我 唾弃 你 的 坟墓 3 】 极度 相似 ，    女 主 眼睛 挺 有 特点 的确 确实 实像 个 天使 。,0
103,按照 套路 不是 应该 祖 贤 和敏敏 在 一起 吗 ？ 那个 泡面 头 来 干 啥 的 ! 神 烦,0
104,女 狼 人 最后 有点 恐怖 ， 画面 挺 美的 。 一直 直觉 觉得 里面 的 女警 女警官 警官 很美 原来 是 莉 芙 泰勒 。,0
105,沒 有 任何 任何人 何人 人性 元素 ， 凸 顯 了 導 演 人文 文意 識 和 藝 術 修 養 的 匱 乏    ,0
106,有些 沉闷 ， 某 一段 让 我 觉得 像 变态 杀手 的 节奏 ， 没什么 什么 能 吸引 引人 把 它 看完,0
107,这 一部 就是 传说 中 轰动 全美 美的 青春 喜剧 ， 同时 也 是 80 年代 全美 总 票房 第一 。,0
108,比起 我 对 它 的 期待 ， 它 的 呈现 就 成 了 个 不能 回头 的 噩梦 。 开头 一段 莫名 莫名其妙 ， 最后 又 咋呼 ， 简直 了 一出 大戏 。,0
109,我 只 记得 我 看过 ， 但 不 记得 讲 了 些 什么 。。。,0
110,恶搞 电影 自 惊声 叫 笑 系列 之后 便 死无葬身 死无葬身之地 葬身 葬身之地,0
111,应该 只 在 网络 播放 吧 ， 要 真的 是 院线 还 不得 得亏 亏死 ？ 小 白 的 四川 普通 普通话 通话 还 蛮 萌 的 ~~ 桥段 不好 好笑 ， 只是 恶俗 又 冷,0
112,国产 的 恐怖 恐怖片 果然 是 一点 都 不好 好看 ， 最后 都 是 不可 可能 有鬼 的,0
113,贝 松 大叔 你 一旦 下决心 决心 心要 商业 起来 ， 还 真是 商业 得 让 人 发指 啊 ， 连 一部 完整 的 电影 都 不让 各位 童鞋 们 好好 好好看 好看 。,0
114,投 名状 状告 告诉 我们 兄弟 是 靠不住 不住 的 ， 妃子 妃子笑 告诉 我们 姐妹 是 靠不住 不住 的 。,0
115,本来 是 个 不错 的 题材 。 可是 就是 被 拍成 这个 恶心 的 样子 了 。,0
116,有 一段 配乐 ， 突兀 而 又 没道理 道理 ， 和 整部 影片 的 节奏 节奏感 感觉 完全 不 搭调 ···,0
117,生命 如 草芥 ！ 特别 是 弱势 弱势群体 群体 ， 古今 都 如此 ！,0
118,他 有 了 风火 风火轮 火轮     他 也 有 了 风火 风火轮 火轮     大家 都 有 了 风火 风火轮 火轮,0
119,自从 一流 警察 从 楼上 跳下 跳下来 下来 ， 这 片子 就 一团 一团糟,0
120,一眼 眼看 看去 还以 以为 是 # 无极 # 呢 。 原来 不是 啊 。。。 垃圾 电影 到 了 一定 程度 就 无语 了 。。。。,0
121,孩子 们 总是 想 不费 不费吹灰之力 吹灰 吹灰之力 的 长大     尝试 试错 错误     长大     真的 长大 了 最 想 抹 去 的 也 就是 那个 错误,0
122,额 额 ， 叫 兽 也 就 弄弄 搞笑 电影 的 水平 ， 真刀 真刀真枪 真枪 枪神 神马 的 不是 你 的 菜 。。。。。,0
123,爱情 爱情片 包装 的 伪 情色 情色电影 电影 ， 男女 女主角 主角 欲 脱 不脱 ， 男女 女配角 配角 为了 脱 而 脱 。。。,0
124,恶搞 了 不少 电影 ， 可惜 被 恶搞 的 那些 原片 大多 是 些 恶俗 片,0
125,黑色 黑色幽默 幽默 / 冷 幽默 到 我 看不懂 。。。 不是 他 的 错 ， 不是 一个 世界 的 。。。,0
126,普通 的 犯罪 片 ， 揭示 犯罪 生态 的 程度 属于 点到为止 为止,0
127,段子 低俗 而且 还 不好 好笑 ， 演员 演技 太 过 浮夸 ， 纯粹 卖肉 的,0
